source_id,url_or_path,page_title,published_or_observed_date,source_tier,timing,claim_status,source_type,material_claim,transferable_principle,confidence,fallback_or_limitation
R9-001,https://help.structured.app/en/articles/324674,What is Structured Pro?,Observed 2026-08-11,C,current,observed,first-party support,"US pricing is $6.99 monthly $29.99 yearly and $99.99 lifetime; most base features remain free.","A meaningful free core can coexist with paid AI recurring behavior and customization.",high,"Exa fetched full text; Firecrawl live scrape cross-checked it. No conversion evidence."
R9-002,https://www.todoist.com/help/articles/todoist-plans-pricing-and-billing-faq-Vq2z0HWL6,"Todoist plans, pricing, and billing FAQ",Published 2026-07-06,C,current,observed,first-party support,"US Pro is $7 monthly or $60 annual with a seven-day trial; Beginner includes limited Ramble voice sessions.","Meter recurring AI while leaving task capture available.",high,"Exa fetched full text. Product adoption does not isolate paid-model performance."
R9-003,https://llamalife.co/,Llama Life - Find Your Focus,Observed 2026-08-11,C,current,described,first-party product,"The current web offer is $6 monthly or $39 annual after a seven-day no-card trial.","A narrow single-task focus job can support subscription pricing.",high,"Exa fetched full text. Founder and testimonial claims are not audited outcomes."
R9-004,https://www.tiimoapp.com/faq,Tiimo FAQ,Observed 2026-08-11,C,current,observed,first-party support,"Tiimo offers monthly and annual Pro; only annual has a seven-day trial; one account works across supported devices.","Cross-device and ongoing AI value are recurring benefits.",high,"Exa fetched full text; exact current US plan prices were not stated."
R9-005,https://apps.apple.com/us/app/tiimo-to-do-list-ai-planner/id1480220328,Tiimo US App Store listing,Observed 2026-08-11,C,current,observed,store listing,"The free version includes a basic planner limited AI and one profile; the listing exposes multiple unlabeled IAP rows.","Do not assign billing periods to unlabeled store rows.",high,"Exa fetched full text. Store reviews and download claims do not prove pricing effectiveness."
R9-006,https://www.getunstuckapp.com/,Unstuck - Break Through Task Paralysis,Observed 2026-08-11,C,current,described,first-party product,"The current offer describes three free breakdowns weekly and $9 monthly Pro with a seven-day trial.","A close substitute sells repeated AI breakdowns after a recurring sample.",medium,"Exa fetched full text. Vendor metrics lack disclosed provenance."
R9-007,https://apps.apple.com/us/app/coral-voice-ai-task-manager/id6758344216,Coral Voice AI Task Manager US App Store listing,Observed 2026-08-11,C,current,observed,store listing,"Free includes five voice commands daily; Pro lists $4.99 and $47.99 SKUs and a seven-day trial.","Voice-first cloud value is often metered above a useful free tier.",high,"Exa fetched full text and Firecrawl forced-live scrape confirmed the dynamic listing. Too few ratings for an overview."
R9-008,https://whisperact.com/,WhisperAct Voice Task Planner,Observed 2026-08-11,C,current,described,first-party product,"Free includes offline capture and seven monthly sync or re-analysis units; Pro is $2.99 monthly and a temporary $24.99 annual launch offer.","Private offline fallback and cloud limits can coexist.",medium,"Exa fetched full text. Temporary annual price is not a stable anchor; Product Hunt comments are not retention data."
R9-009,https://help.finchcare.com/hc/en-us/articles/38755205001869-Finch-Plus-Pricing,Finch Plus Pricing,Observed 2026-08-11,C,current,observed,first-party support,"Finch Plus is $9.99 monthly or $69.99 annual in USD.","Paid customization can leave the core self-care loop free.",high,"Exa fetched full text. Less analogous to recurring cloud AI cost."
R9-010,https://help.finchcare.com/hc/en-us/articles/37780200600589-Benefits-of-Finch-Plus,Benefits of Finch Plus,Observed 2026-08-11,C,current,described,first-party support,"Finch says core self-care goals reflection social and event features remain free while Plus adds customization and bonus content.","Do not hold the core trust relationship hostage to payment.",high,"Exa fetched full text. No causal retention evidence."
R9-011,https://www.focusmate.com/pricing/,Focusmate Pricing,Observed 2026-08-11,C,current,observed,first-party pricing,"Free includes three sessions weekly; Plus is $12 monthly or $8 per month billed annually.","A recurring allowance can demonstrate value before unlimited access.",high,"Exa fetched full text. Comparison claims on the same page are vendor claims."
R9-012,https://staycomposed.app/pricing/,Composed Pricing,Published 2025-12-01,C,current,described,first-party pricing,"Free includes five active events with voice and AI; Pro is $5.99 monthly or $39.99 annual after a seven-day trial; lifetime is $149.","A voice and AI utility can make core input free and charge for expanded recurring utility.",medium,"Exa fetched full text. Product is adjacent but not included in the nine-row primary price median."
R9-013,https://www.revenuecat.com/state-of-subscription-apps-2026-productivity/,State of Subscription Apps 2026 Productivity,Observed 2026-08-11,A,current benchmark,measured,official aggregate report,"Dataset covers more than 115000 apps $16B revenue and over one billion transactions; hard paywall median D35 conversion exceeds freemium and 17–32-day trials show higher median conversion than short trials.","Use the benchmark as context for experiments not a command to block first value.",high,"Selected RevenueCat-integrated apps and 2025 performance; correlation and category composition limit transfer."
R9-014,https://www.revenuecat.com/blog/engineering/android-paywall-gap,The Android paywall conversion gap,Published 2026-03-25,A,current benchmark,measured,official analysis,"Android median D35 paid conversion is reported at 0.9% versus 2.6% iOS while trial-to-paid is 32.5% versus 32.6%; most trial starts occur on day zero.","Make a clear offer visible in the first value session and verify Android offer configuration.",high,"RevenueCat aggregate data; selection effects are acknowledged by the source."
R9-015,https://www.revenuecat.com/docs/getting-started/entitlements,RevenueCat Entitlements,Observed 2026-08-11,A,current,observed,official documentation,"Most apps need one entitlement and products can unlock that entitlement for their active duration.","Use one pro access decision instead of store-product branches throughout the app.",high,"Exa fetched full text; implementation still needs SDK tests."
R9-016,https://www.revenuecat.com/docs/offerings/overview,RevenueCat Offerings,Observed 2026-08-11,A,current,observed,official documentation,"Offerings group equivalent cross-platform products into packages and enable remote paywalls experiments and targeting.","Fetch the current Offering and map monthly and annual products across stores.",high,"Exa fetched full text; remote configuration does not replace store setup."
R9-017,https://www.revenuecat.com/docs/getting-started/restoring-purchases,Restoring Purchases,Observed 2026-08-11,A,current,observed,official documentation,"Apps should expose user-triggered restore; consumables and non-renewing purchases require custom App User IDs; consumed Billing Client 8 purchases cannot be restored anonymously.","Provide explicit restore and avoid consumable packs in an anonymous MVP.",high,"Exa fetched full text. Store identity behavior still needs device testing."
R9-018,https://www.revenuecat.com/docs/subscription-guidance/how-grace-periods-work,Billing Issues and Grace Periods,Observed 2026-08-11,A,current,observed,official documentation,"Supported store grace periods keep entitlements active while billing recovery is attempted and RevenueCat emits billing-issue state.","Keep current recovery uninterrupted and show a management path.",high,"Exa fetched full text. Exact duration is store configuration."
R9-019,https://www.revenuecat.com/docs/tools/customer-center,RevenueCat Customer Center,Observed 2026-08-11,A,current,observed,official documentation,"Customer Center supports subscription management restore and support; refund and plan-change features vary by platform.","Use self-service management where supported and retain store-native fallbacks.",high,"Page says Pro and Enterprise; confirm the account feature before relying on it."
R9-020,https://www.revenuecat.com/pricing,RevenueCat Pricing,Observed 2026-08-11,A,current,observed,official pricing,"Current Pro plan is free through $2500 in monthly tracked revenue and then 1% of tracked revenue.","The service fits an early free-tier budget and scales with tracked revenue.",high,"Pricing can change; tracked revenue is before platform fees per RevenueCat definitions."
R9-021,https://www.revenuecat.com/docs/getting-started/installation/android,RevenueCat Android Installation,Observed 2026-08-11,A,current,observed,official documentation,"Galaxy Store support is documented for Android SDK 10.7.0+ and React Native 10.3.0+; other hybrid SDK support is coming; physical Galaxy hardware is required for test purchases.","Treat Galaxy billing as a stack and physical-device gate.",high,"Observed current versions may change after this run."
R9-022,https://www.revenuecat.com/docs/platform-resources/galaxy-platform-resources/galaxy-setup-guide,RevenueCat Galaxy Store Setup,Observed 2026-08-11,A,current,observed,official documentation,"RevenueCat requires a Galaxy app record service account and private key before purchase validation.","Create the seller and service-account path early and secure the key.",high,"Exa fetched full text; no setup exists yet."
R9-023,https://www.revenuecat.com/docs/getting-started/entitlements/galaxy-products,RevenueCat Galaxy Product Setup,Observed 2026-08-11,A,current,observed,official documentation,"Galaxy products must be created activated and mapped into RevenueCat as subscription consumable or non-consumable products.","Map store-specific monthly and annual products into the same pro entitlement.",high,"Exa fetched full text; physical purchase not performed."
R9-024,https://documentation.onesignal.com/docs/en/prompt-for-push-permissions,OneSignal Prompt for Push Permissions,Observed 2026-08-11,A,current,observed,official documentation,"OneSignal recommends a soft prompt after a value moment; the system prompt has limited attempts and Android 13+ requires runtime permission.","Ask only after first value and an explicit one-reminder choice.",high,"Exa fetched full text; vendor conversion language is not independent evidence."
R9-025,https://onesignal.com/pricing,OneSignal Pricing,Modified 2026-06-16; observed 2026-08-11,A,current,observed,official pricing,"Free includes unlimited mobile push one active in-app message one active Journey and two Journey steps; platform-wide frequency capping is an Enterprise feature.","A bounded one-time reminder fits free mobile push but still needs backend suppression.",high,"Exa fetched full text; prices and features can change."
R9-041,https://documentation.onesignal.com/reference/create-message,Sending Messages with the OneSignal API,Observed 2026-08-11,A,current,observed,official documentation,"The API can target a specific user alias and schedule a future push with send_after.","Schedule only a user-requested one-time recovery reminder from the backend.",high,"Exa fetched full text; provider acceptance does not prove device delivery."
